horizon,mse,rmse,mae,mape,mdape,smape,coverage
150 days,0.03121073402906318,0.17666559945010002,0.13816814502671987,1.1083114089714792,0.4122754466648256,0.7562851287266165,0.668125
151 days,0.03254469636490183,0.1804014865928267,0.1412542914388925,1.0965338143997645,0.43082987914170745,0.7586367364152118,0.66375
152 days,0.0331279209573216,0.18201077154202056,0.14280433081900168,1.0990687010312528,0.4185460402325585,0.7633610571842131,0.663125
153 days,0.033645359167888994,0.18342671334320143,0.14359917463946048,1.1118036182119908,0.4279503880341526,0.7656749175150377,0.658125
154 days,0.033985482343466565,0.18435151841920522,0.14446862440732997,1.1569279716140937,0.4463267761853375,0.7773934706070359,0.65125
155 days,0.03381086799478885,0.18387731778223448,0.14426040188438385,1.1549059545607063,0.4463267761853375,0.7759201379793246,0.646875
156 days,0.03313233822978853,0.18202290578327918,0.14340105181615379,1.1575672399712378,0.436842558126119,0.7759549493326984,0.644375
157 days,0.03324103441179765,0.18232123960690275,0.14416775255125308,1.341623356148298,0.4661062848213669,0.7883291887304377,0.641875
158 days,0.03360637114386303,0.18332040569413713,0.14470759726809307,1.3357698768564916,0.4787585965136964,0.7891161180884881,0.644375
159 days,0.033359232610711595,0.18264510015522342,0.14430021851644143,1.3329046688477226,0.48722851567153436,0.789391685025852,0.6508333333333333
160 days,0.03302764407672846,0.1817350931348386,0.1443610749455751,1.3500238988051008,0.5176581532874838,0.7950459491336549,0.6441666666666667
161 days,0.032894964878909076,0.18136969118049762,0.14427794726047646,1.3082748501716208,0.5176581532874838,0.7924770006031963,0.645625
162 days,0.03347574670445287,0.18296378522662038,0.14556231404679437,1.2965688573934495,0.5008177809801497,0.7997068028085521,0.643125
163 days,0.03434614652510813,0.18532713380697424,0.1483922828230499,1.4633330828169844,0.5419931222571983,0.8266218016247215,0.63
164 days,0.036298135299627214,0.1905206952003567,0.1524073819585306,1.4986012798422428,0.5805034187284006,0.8597967817147921,0.6175
165 days,0.03542030680019081,0.18820283419808218,0.1501081826114801,1.509718651293124,0.5805034187284006,0.8693492824513862,0.6275
166 days,0.0355533078003169,0.1885558479610667,0.15071581168523876,1.5076347020563994,0.6152047842055897,0.8880648715730576,0.6275
167 days,0.03543916255040905,0.18825292175796116,0.1505631168966362,1.5072766024300859,0.6447385703366306,0.9055541603545078,0.62875
168 days,0.034969372169530284,0.18700099510304827,0.15011843286355225,1.49005993748696,0.6509103499281059,0.9246013174266414,0.6325
169 days,0.03435395853148059,0.18534820887044093,0.14943286315381601,1.4719110223551801,0.667218984093223,0.9447661375165063,0.6375
170 days,0.03444066175331298,0.1855819542771144,0.1506761345981083,1.4846992737299614,0.6911844746563405,0.9787977292777488,0.64
171 days,0.034220086651190335,0.18498672020226298,0.150668568776807,1.464891912257055,0.6990855095935613,0.9950157858699056,0.6325
172 days,0.03224551493921681,0.17957036208466254,0.14738955780398996,1.4539630305750575,0.6725379325738712,0.9752285413925011,0.6325
173 days,0.032286387778197805,0.17968413335127228,0.14633252344744574,1.4348436784686467,0.6509103499281059,0.9441046301239286,0.63875
174 days,0.032885309450304386,0.18134307113949621,0.14811117246278868,1.4281331678464637,0.6237617244485116,0.9092435876773695,0.63
175 days,0.033303254621838786,0.18249179329996948,0.14930364501983873,1.5019967845480844,0.5979125831702039,0.8704576163417657,0.61375
176 days,0.032680004026203024,0.18077611575150912,0.14764245238134105,1.4549044344672748,0.5419931222571983,0.8260403745495702,0.61875
177 days,0.03280932289181871,0.18113343946333793,0.14820327524792318,1.5053304748268375,0.535369356501576,0.8311582861807486,0.61375
178 days,0.032791124332755515,0.1810831972678733,0.14696804966285007,1.475954632264445,0.535369356501576,0.822291168271594,0.6175
179 days,0.03277204667235529,0.18103051309753085,0.14679138586999382,1.4622357938814792,0.5172482788584968,0.8176492044527194,0.6175
180 days,0.03335270414543362,0.18262722728397762,0.1486317380023501,1.4609627730241461,0.5172482788584968,0.820791078053067,0.61375
181 days,0.0333662844659045,0.1826644039376706,0.14938600975932373,1.4202176050538993,0.5010313338165878,0.8161997586975781,0.6275
182 days,0.03417390093594071,0.1848618428338869,0.15134854175281984,1.4370163319962876,0.5100472815097561,0.8243615100368047,0.63375
183 days,0.03477327539801089,0.18647593785261113,0.1521823639680643,1.40657236108176,0.5100472815097561,0.8122897306324414,0.63125
184 days,0.03550340264817413,0.18842346628850168,0.15452288288940047,1.4055468044777442,0.5100472815097561,0.8140170294165919,0.6175
185 days,0.03521514971722995,0.18765700018179432,0.1540290261182069,1.4355203867763136,0.5172482788584968,0.8175479195265555,0.615
186 days,0.03527325904153578,0.1878117649177915,0.1540547543584262,1.4324477438151775,0.5189099488285887,0.8158822189583348,0.6175
