ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat,y
1878-01-01,-0.18972316965772265,-0.36899565964698205,-0.03397152450039735,-0.18972316965772265,-0.18972316965772265,-0.013526214255079971,-0.013526214255079971,-0.013526214255079971,-0.013526214255079971,-0.013526214255079971,-0.013526214255079971,0.0,0.0,0.0,-0.20324938391280262,0.1
1878-02-01,-0.1899146293722397,-0.34910308748396723,-0.02995409749335328,-0.1899146293722397,-0.1899146293722397,0.0028425659450007916,0.0028425659450007916,0.0028425659450007916,0.0028425659450007916,0.0028425659450007916,0.0028425659450007916,0.0,0.0,0.0,-0.18707206342723892,0.23
1878-03-01,-0.19008756072728733,-0.37063285227996956,-0.030965143967887084,-0.19008756072728733,-0.19008756072728733,-0.007495143325572219,-0.007495143325572219,-0.007495143325572219,-0.007495143325572219,-0.007495143325572219,-0.007495143325572219,0.0,0.0,0.0,-0.19758270405285955,0.25
1878-04-01,-0.19027902044180434,-0.3673869138397581,-0.03285540556214254,-0.19027902044180434,-0.19027902044180434,-0.014495681721512886,-0.014495681721512886,-0.014495681721512886,-0.014495681721512886,-0.014495681721512886,-0.014495681721512886,0.0,0.0,0.0,-0.20477470216331722,0.06
1878-05-01,-0.19046430403649828,-0.3499284410580007,-0.00995882650188684,-0.19046430403649828,-0.19046430403649828,0.00860214138007209,0.00860214138007209,0.00860214138007209,0.00860214138007209,0.00860214138007209,0.00860214138007209,0.0,0.0,0.0,-0.18186216265642619,0.04
1878-06-01,-0.19065576375101534,-0.35789199655482345,-0.034365336265674215,-0.19065576375101534,-0.19065576375101534,0.008382242384879945,0.008382242384879945,0.008382242384879945,0.008382242384879945,0.008382242384879945,0.008382242384879945,0.0,0.0,0.0,-0.1822735213661354,0.1
1878-07-01,-0.19084104734570922,-0.3441537319390734,-0.007641766913557968,-0.19084104734570922,-0.19084104734570922,0.018249716082830277,0.018249716082830277,0.018249716082830277,0.018249716082830277,0.018249716082830277,0.018249716082830277,0.0,0.0,0.0,-0.17259133126287896,0.05
1878-08-01,-0.19103250706022623,-0.34421995142006734,-0.007670437049707604,-0.19103250706022623,-0.19103250706022623,0.021847906754128114,0.021847906754128114,0.021847906754128114,0.021847906754128114,0.021847906754128114,0.021847906754128114,0.0,0.0,0.0,-0.1691846003060981,0.03
1878-09-01,-0.19122396677474326,-0.3534082216342004,-0.007029057729665144,-0.19122396677474326,-0.19122396677474326,0.01968759112327491,0.01968759112327491,0.01968759112327491,0.01968759112327491,0.01968759112327491,0.01968759112327491,0.0,0.0,0.0,-0.17153637565146834,0.02
1878-10-01,-0.19140925036943718,-0.3643632344828649,-0.03288861122455247,-0.19140925036943718,-0.19140925036943718,-0.0036757514530387932,-0.0036757514530387932,-0.0036757514530387932,-0.0036757514530387932,-0.0036757514530387932,-0.0036757514530387932,0.0,0.0,0.0,-0.19508500182247598,-0.05
1878-11-01,-0.1916007100839542,-0.36531007524090736,-0.038420701720018005,-0.1916007100839542,-0.1916007100839542,-0.006716914822613868,-0.006716914822613868,-0.006716914822613868,-0.006716914822613868,-0.006716914822613868,-0.006716914822613868,0.0,0.0,0.0,-0.19831762490656807,-0.09
1878-12-01,-0.19178599367864813,-0.3655979024589952,-0.024276734744641204,-0.19178599367864813,-0.19178599367864813,-0.0014449246233354139,-0.0014449246233354139,-0.0014449246233354139,-0.0014449246233354139,-0.0014449246233354139,-0.0014449246233354139,0.0,0.0,0.0,-0.19323091830198355,-0.08
1879-01-01,-0.19197745339316516,-0.3756004129413111,-0.04810965878862491,-0.19197745339316516,-0.19197745339316516,-0.013112354538338153,-0.013112354538338153,-0.013112354538338153,-0.013112354538338153,-0.013112354538338153,-0.013112354538338153,0.0,0.0,0.0,-0.2050898079315033,-0.07
1879-02-01,-0.19219417420866175,-0.3577051096824163,-0.017189342340040728,-0.19219417420866175,-0.19219417420866175,-0.002181304053829266,-0.002181304053829266,-0.002181304053829266,-0.002181304053829266,-0.002181304053829266,-0.002181304053829266,0.0,0.0,0.0,-0.19437547826249102,-0.04
1879-03-01,-0.1923899220420135,-0.37333914052387784,-0.03456902689372271,-0.1923899220420135,-0.1923899220420135,-0.007282676871678064,-0.007282676871678064,-0.007282676871678064,-0.007282676871678064,-0.007282676871678064,-0.007282676871678064,0.0,0.0,0.0,-0.19967259891369155,-0.04
1879-04-01,-0.19260664285751009,-0.3817390761984617,-0.040195841667681954,-0.19260664285751009,-0.19260664285751009,-0.010079644575534214,-0.010079644575534214,-0.010079644575534214,-0.010079644575534214,-0.010079644575534214,-0.010079644575534214,0.0,0.0,0.0,-0.2026862874330443,-0.06
