actual,predicted
0.5,0.10936228403094066
0.44,0.11339728884431544
0.44,0.12281890375508928
0.48,0.11729017729193306
0.32,0.0980538124918095
0.28,0.09447720207109093
0.49,0.07958038768192768
0.37,0.10015411768636509
0.37,0.10166727256415733
0.34,0.1165819697056349
0.37,0.11574950868450715
0.35,0.12630527506211328
0.44,0.1227446646099599
0.27,0.12278887310270906
0.17,0.1127542650183092
0.44,0.10932249226903899
0.38,0.10499074891109969
0.3,0.09663812728445831
0.39,0.0971201097672134
0.52,0.10311447142937818
0.41,0.10861925469732368
0.42,0.11918267361289003
0.57,0.1179812192061321
0.42,0.12875103442354896
0.47,0.12158676470086145
0.59,0.12283023952592537
0.68,0.11932025961864555
0.65,0.11534884479090007
0.59,0.10606874474466875
0.58,0.09929122787597103
0.83,0.0945611922510668
0.68,0.1062109225207858
0.7,0.11559410565676452
0.69,0.12170628566023786
0.76,0.12016629662312378
0.7,0.1311330325649646
0.68,0.12042392219300668
0.48,0.12299847532253846
0.44,0.12597664383843454
0.45,0.12130611110097356
0.59,0.10705576817558456
0.49,0.10186991959614376
0.63,0.0920121950857475
0.39,0.1094422563300462
0.37,0.12258603395574882
0.34,0.12415132623513302
0.38,0.12230492043241198
0.41,0.13345283878308664
0.33,0.11926128923035513
0.46,0.12329629404374197
0.37,0.13271790895451213
0.38,0.12718918249134947
0.47,0.10795281769122908
0.34,0.10437620727052956
0.57,0.08947939288136553
0.59,0.11005312288579022
0.61,0.1115662777635901
0.39,0.1264809749050553
0.37,0.12564851388392215
0.41,0.13620428026155576
0.46,0.13264366980938777
0.43,0.13268787830213838
0.33,0.12265327021773213
0.33,0.11922149746846385
0.31,0.11488975411052393
0.44,0.10653713248388096
0.46,0.10701911496663928
0.57,0.1130134766288121
0.56,0.11851825989676072
0.58,0.12908167881232643
0.55,0.1278802244055533
0.62,0.1386500396229681
0.48,0.13148576990026642
0.58,0.13272924472533934
0.47,0.12921926481808366
0.71,0.12524784999033292
0.63,0.11596774994408454
0.68,0.10919023307539416
0.7,0.10446019745046342
0.86,0.11610992772020703
0.56,0.12549311085619821
0.66,0.1316052908596584
0.54,0.1300653018225505
0.59,0.14103203776438158
0.53,0.13032292739244444
0.66,0.13289748052196537
0.56,0.13587564903783872
0.62,0.13120511630038995
0.5,0.1169547733750086
0.71,0.1117689247955701
0.57,0.10191120028516268
0.61,0.11934126152946352
0.61,0.13248503915515383
0.64,0.1340503314345513
0.52,0.1322039256318368
