,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat,y
1648,1987-05-01,0.2912833647063962,0.11775710004343373,0.4670625015655396,0.2912833647063962,0.2912833647063962,0.0002766795734209405,0.0002766795734209405,0.0002766795734209405,0.0002766795734209405,0.0002766795734209405,0.0002766795734209405,0.0,0.0,0.0,0.29156004427981713,0.33
1649,1987-06-01,0.29284471103811405,0.11808893800970471,0.47405100791271926,0.29284471103811405,0.29284471103811405,0.00035665581070017,0.00035665581070017,0.00035665581070017,0.00035665581070017,0.00035665581070017,0.00035665581070017,0.0,0.0,0.0,0.2932013668488142,0.4
1650,1987-07-01,0.2943556913591313,0.11054923693494835,0.4841841234245665,0.2943556913591313,0.2943556913591313,0.003780208875254164,0.003780208875254164,0.003780208875254164,0.003780208875254164,0.003780208875254164,0.003780208875254164,0.0,0.0,0.0,0.29813590023438546,0.46
1651,1987-08-01,0.2959170376908488,0.0998460197139798,0.46131539835771834,0.2959170376908488,0.2959170376908488,-0.006199773854572023,-0.006199773854572023,-0.006199773854572023,-0.006199773854572023,-0.006199773854572023,-0.006199773854572023,0.0,0.0,0.0,0.2897172638362768,0.34
1652,1987-09-01,0.297478384022567,0.11856869307870574,0.4730890222507583,0.297478384022567,0.297478384022567,0.0027169797320736205,0.0027169797320736205,0.0027169797320736205,0.0027169797320736205,0.0027169797320736205,0.0027169797320736205,0.0,0.0,0.0,0.3001953637546406,0.4
1653,1987-10-01,0.29898936434358425,0.14301776117114723,0.497881700675127,0.29898936434358425,0.29898936434358425,0.01427231952343342,0.01427231952343342,0.01427231952343342,0.01427231952343342,0.01427231952343342,0.01427231952343342,0.0,0.0,0.0,0.3132616838670177,0.35
1654,1987-11-01,0.30055071067530176,0.12921908340232854,0.47021627807518346,0.30055071067530176,0.30055071067530176,0.00045190514179947223,0.00045190514179947223,0.00045190514179947223,0.00045190514179947223,0.00045190514179947223,0.00045190514179947223,0.0,0.0,0.0,0.30100261581710125,0.26
1655,1987-12-01,0.302061690996319,0.11243161740686579,0.46268296797024544,0.302061690996319,0.302061690996319,-0.00829619011838242,-0.00829619011838242,-0.00829619011838242,-0.00829619011838242,-0.00829619011838242,-0.00829619011838242,0.0,0.0,0.0,0.2937655008779366,0.48
1656,1988-01-01,0.30362303732803686,0.11198279024257662,0.4658233857986478,0.30362303732803686,0.30362303732803686,-0.009066574658298,-0.009066574658298,-0.009066574658298,-0.009066574658298,-0.009066574658298,-0.009066574658298,0.0,0.0,0.0,0.29455646266973884,0.54
1657,1988-02-01,0.3051843836597544,0.11728705880117088,0.4889112079794714,0.3051843836597544,0.3051843836597544,-0.007000844986126279,-0.007000844986126279,-0.007000844986126279,-0.007000844986126279,-0.007000844986126279,-0.007000844986126279,0.0,0.0,0.0,0.2981835386736281,0.46
1658,1988-03-01,0.3066449979700714,0.13760866228447297,0.5133759305039358,0.3066449979700714,0.3066449979700714,0.012783515254011902,0.012783515254011902,0.012783515254011902,0.012783515254011902,0.012783515254011902,0.012783515254011902,0.0,0.0,0.0,0.3194285132240833,0.46
1659,1988-04-01,0.30820634430178895,0.1251608682746469,0.4827803374715501,0.30820634430178895,0.30820634430178895,0.00040497839169391565,0.00040497839169391565,0.00040497839169391565,0.00040497839169391565,0.00040497839169391565,0.00040497839169391565,0.0,0.0,0.0,0.30861132269348285,0.46
1660,1988-05-01,0.3097173246228062,0.1441846625226016,0.4932088830884471,0.3097173246228062,0.3097173246228062,0.005490427474418041,0.005490427474418041,0.005490427474418041,0.005490427474418041,0.005490427474418041,0.005490427474418041,0.0,0.0,0.0,0.31520775209722424,0.48
1661,1988-06-01,0.31127867095452433,0.12122298451533679,0.48389218996556527,0.31127867095452433,0.31127867095452433,-0.0005763833508814599,-0.0005763833508814599,-0.0005763833508814599,-0.0005763833508814599,-0.0005763833508814599,-0.0005763833508814599,0.0,0.0,0.0,0.3107022876036429,0.41
1662,1988-07-01,0.3127896512755416,0.14167329344180335,0.4887803730570071,0.3127896512755416,0.3127896512755416,0.0037244464619583533,0.0037244464619583533,0.0037244464619583533,0.0037244464619583533,0.0037244464619583533,0.0037244464619583533,0.0,0.0,0.0,0.31651409773749994,0.39
1663,1988-08-01,0.31435099760725915,0.13617012022641392,0.5034893438705289,0.31435099760725915,0.31435099760725915,0.003167252305175106,0.003167252305175106,0.003167252305175106,0.003167252305175106,0.003167252305175106,0.003167252305175106,0.0,0.0,0.0,0.31751824991243427,0.51
1664,1988-09-01,0.315912343938977,0.1409340242861972,0.49194526951295586,0.315912343938977,0.315912343938977,0.006794678496824447,0.006794678496824447,0.006794678496824447,0.006794678496824447,0.006794678496824447,0.006794678496824447,0.0,0.0,0.0,0.32270702243580146,0.41
1665,1988-10-01,0.31742332425999426,0.1419189782235914,0.49663763325523547,0.31742332425999426,0.31742332425999426,-0.0005433170072978519,-0.0005433170072978519,-0.0005433170072978519,-0.0005433170072978519,-0.0005433170072978519,-0.0005433170072978519,0.0,0.0,0.0,0.3168800072526964,0.4
1666,1988-11-01,0.3189846705917121,0.14095193694480676,0.5082129177820381,0.3189846705917121,0.3189846705917121,-0.00254666431715577,-0.00254666431715577,-0.00254666431715577,-0.00254666431715577,-0.00254666431715577,-0.00254666431715577,0.0,0.0,0.0,0.3164380062745563,0.16
1667,1988-12-01,0.320495650912729,0.13744260829432253,0.4918933660663321,0.320495650912729,0.320495650912729,-0.00414257123551677,-0.00414257123551677,-0.00414257123551677,-0.00414257123551677,-0.00414257123551677,-0.00414257123551677,0.0,0.0,0.0,0.31635307967721227,0.32
1668,1989-01-01,0.3220569972444472,0.13934557960408595,0.4866023644520758,0.3220569972444472,0.3220569972444472,-0.005054163638230604,-0.005054163638230604,-0.005054163638230604,-0.005054163638230604,-0.005054163638230604,-0.005054163638230604,0.0,0.0,0.0,0.3170028336062166,0.12
1669,1989-02-01,0.3236183435761647,0.14729469910245344,0.5080739703494246,0.3236183435761647,0.3236183435761647,0.00041064433311058284,0.00041064433311058284,0.00041064433311058284,0.00041064433311058284,0.00041064433311058284,0.00041064433311058284,0.0,0.0,0.0,0.3240289879092753,0.33
1670,1989-03-01,0.3250285918757808,0.1742513425682487,0.5023981556300545,0.3250285918757808,0.3250285918757808,0.013944384585143021,0.013944384585143021,0.013944384585143021,0.013944384585143021,0.013944384585143021,0.013944384585143021,0.0,0.0,0.0,0.33897297646092384,0.36
1671,1989-04-01,0.32658993820749865,0.15577857888936011,0.5105718548661973,0.32658993820749865,0.32658993820749865,0.004078339128030402,0.004078339128030402,0.004078339128030402,0.004078339128030402,0.004078339128030402,0.004078339128030402,0.0,0.0,0.0,0.33066827733552906,0.4
1672,1989-05-01,0.3281009185285159,0.15478511748140336,0.5237124469748177,0.3281009185285159,0.3281009185285159,0.003809724917155759,0.003809724917155759,0.003809724917155759,0.003809724917155759,0.003809724917155759,0.003809724917155759,0.0,0.0,0.0,0.33191064344567167,0.24
1673,1989-06-01,0.32966226486023376,0.1413545203977935,0.5165073289336732,0.32966226486023376,0.32966226486023376,-0.0002549721702604661,-0.0002549721702604661,-0.0002549721702604661,-0.0002549721702604661,-0.0002549721702604661,-0.0002549721702604661,0.0,0.0,0.0,0.32940729268997326,0.1
1674,1989-07-01,0.331173245181251,0.14809789246894312,0.5149341525523258,0.331173245181251,0.331173245181251,0.003788258376501818,0.003788258376501818,0.003788258376501818,0.003788258376501818,0.003788258376501818,0.003788258376501818,0.0,0.0,0.0,0.33496150355775284,0.33
1675,1989-08-01,0.3327345915129686,0.14370513203209542,0.5030527053997664,0.3327345915129686,0.3327345915129686,3.422858338000025e-05,3.422858338000025e-05,3.422858338000025e-05,3.422858338000025e-05,3.422858338000025e-05,3.422858338000025e-05,0.0,0.0,0.0,0.33276882009634856,0.32
1676,1989-09-01,0.3342959378446867,0.16679749184371867,0.5210902689707714,0.3342959378446867,0.3342959378446867,0.005316972479668216,0.005316972479668216,0.005316972479668216,0.005316972479668216,0.005316972479668216,0.005316972479668216,0.0,0.0,0.0,0.3396129103243549,0.4
1677,1989-10-01,0.33580691816570396,0.1711062383583878,0.5258957476367038,0.33580691816570396,0.33580691816570396,0.004363187863512287,0.004363187863512287,0.004363187863512287,0.004363187863512287,0.004363187863512287,0.004363187863512287,0.0,0.0,0.0,0.34017010602921627,0.35
1678,1989-11-01,0.3373682644974215,0.15637982336254103,0.5134540030490293,0.3373682644974215,0.3373682644974215,-0.0014576597979801013,-0.0014576597979801013,-0.0014576597979801013,-0.0014576597979801013,-0.0014576597979801013,-0.0014576597979801013,0.0,0.0,0.0,0.3359106046994414,0.19
1679,1989-12-01,0.3388792448184388,0.1586348713180929,0.49263164221847106,0.3388792448184388,0.3388792448184388,-0.005463481307801839,-0.005463481307801839,-0.005463481307801839,-0.005463481307801839,-0.005463481307801839,-0.005463481307801839,0.0,0.0,0.0,0.33341576351063695,0.4
1680,1990-01-01,0.3404405911501566,0.15311233574156746,0.5252243800412544,0.3404405911501566,0.3404405911501566,-0.0063718609499975026,-0.0063718609499975026,-0.0063718609499975026,-0.0063718609499975026,-0.0063718609499975026,-0.0063718609499975026,0.0,0.0,0.0,0.33406873020015915,0.4
1681,1990-02-01,0.3420019374818742,0.16568676825103376,0.5112006940001673,0.3420019374818742,0.3420019374818742,-0.002106314718524184,-0.002106314718524184,-0.002106314718524184,-0.002106314718524184,-0.002106314718524184,-0.002106314718524184,0.0,0.0,0.0,0.33989562276335,0.38
1682,1990-03-01,0.3434121857814906,0.1847645921984771,0.5387355914337069,0.3434121857814906,0.3434121857814906,0.015182044296684965,0.015182044296684965,0.015182044296684965,0.015182044296684965,0.015182044296684965,0.015182044296684965,0.0,0.0,0.0,0.35859423007817554,0.78
1683,1990-04-01,0.3449735321132084,0.1740698871268057,0.5452209698458674,0.3449735321132084,0.3449735321132084,0.007727978913851075,0.007727978913851075,0.007727978913851075,0.007727978913851075,0.007727978913851075,0.007727978913851075,0.0,0.0,0.0,0.3527015110270595,0.62
1684,1990-05-01,0.3464845124342257,0.17882888450716466,0.5321943279639996,0.3464845124342257,0.3464845124342257,0.002071503676107639,0.002071503676107639,0.002071503676107639,0.002071503676107639,0.002071503676107639,0.002071503676107639,0.0,0.0,0.0,0.3485560161103333,0.51
1685,1990-06-01,0.34804585876594324,0.1523987964325584,0.5346068886023283,0.34804585876594324,0.34804585876594324,5.5997562176672394e-05,5.5997562176672394e-05,5.5997562176672394e-05,5.5997562176672394e-05,5.5997562176672394e-05,5.5997562176672394e-05,0.0,0.0,0.0,0.3481018563281199,0.42
1686,1990-07-01,0.3495568390869605,0.17332098838299273,0.5263593637101343,0.3495568390869605,0.3495568390869605,0.003806485950960125,0.003806485950960125,0.003806485950960125,0.003806485950960125,0.003806485950960125,0.003806485950960125,0.0,0.0,0.0,0.3533633250379206,0.36
1687,1990-08-01,0.3511181854186786,0.18755921974560738,0.5296748583406762,0.3511181854186786,0.3511181854186786,-0.003089462462586772,-0.003089462462586772,-0.003089462462586772,-0.003089462462586772,-0.003089462462586772,-0.003089462462586772,0.0,0.0,0.0,0.34802872295609183,0.38
1688,1990-09-01,0.3526795317503962,0.17131253972519703,0.5327189854706889,0.3526795317503962,0.3526795317503962,0.003957366543359075,0.003957366543359075,0.003957366543359075,0.003957366543359075,0.003957366543359075,0.003957366543359075,0.0,0.0,0.0,0.3566368982937553,0.3
1689,1990-10-01,0.35419051207141344,0.17437064875657227,0.5471885920247133,0.35419051207141344,0.35419051207141344,0.009303699391390566,0.009303699391390566,0.009303699391390566,0.009303699391390566,0.009303699391390566,0.009303699391390566,0.0,0.0,0.0,0.36349421146280403,0.41
1690,1990-11-01,0.3557518584031313,0.17254712251559712,0.5244135225414207,0.3557518584031313,0.3557518584031313,-0.00045736285240952464,-0.00045736285240952464,-0.00045736285240952464,-0.00045736285240952464,-0.00045736285240952464,-0.00045736285240952464,0.0,0.0,0.0,0.35529449555072173,0.42
1691,1990-12-01,0.35726283872414855,0.17070922747377257,0.534378995753703,0.35726283872414855,0.35726283872414855,-0.006848651720092482,-0.006848651720092482,-0.006848651720092482,-0.006848651720092482,-0.006848651720092482,-0.006848651720092482,0.0,0.0,0.0,0.3504141870040561,0.41
1692,1991-01-01,0.35882418505586605,0.1851810154439828,0.5248902808108269,0.35882418505586605,0.35882418505586605,-0.007710273042083421,-0.007710273042083421,-0.007710273042083421,-0.007710273042083421,-0.007710273042083421,-0.007710273042083421,0.0,0.0,0.0,0.3511139120137826,0.42
1693,1991-02-01,0.3603855313875842,0.1808149113532813,0.5395381912897094,0.3603855313875842,0.3603855313875842,-0.004577884176262072,-0.004577884176262072,-0.004577884176262072,-0.004577884176262072,-0.004577884176262072,-0.004577884176262072,0.0,0.0,0.0,0.35580764721132213,0.52
1694,1991-03-01,0.3617957796872,0.20039879490075846,0.5567082815156621,0.3617957796872,0.3617957796872,0.01649427055314434,0.01649427055314434,0.01649427055314434,0.01649427055314434,0.01649427055314434,0.01649427055314434,0.0,0.0,0.0,0.37829005024034434,0.38
1695,1991-04-01,0.36335712601891784,0.18062940375596995,0.5594665745924534,0.36335712601891784,0.36335712601891784,0.011349578303685342,0.011349578303685342,0.011349578303685342,0.011349578303685342,0.011349578303685342,0.011349578303685342,0.0,0.0,0.0,0.37470670432260317,0.59
1696,1991-05-01,0.3648681063399351,0.18700624781234637,0.5584759628878272,0.3648681063399351,0.3648681063399351,0.0002766795734212473,0.0002766795734212473,0.0002766795734212473,0.0002766795734212473,0.0002766795734212473,0.0002766795734212473,0.0,0.0,0.0,0.36514478591335636,0.44
1697,1991-06-01,0.3664294526716533,0.18522315969724368,0.5513775585940768,0.3664294526716533,0.3664294526716533,0.00035665581070415826,0.00035665581070415826,0.00035665581070415826,0.00035665581070415826,0.00035665581070415826,0.00035665581070415826,0.0,0.0,0.0,0.36678610848235743,0.56
1698,1991-07-01,0.36794043299266993,0.2005358620309657,0.5561073000442729,0.36794043299266993,0.36794043299266993,0.003780208875251265,0.003780208875251265,0.003780208875251265,0.003780208875251265,0.003780208875251265,0.003780208875251265,0.0,0.0,0.0,0.3717206418679212,0.41
1699,1991-08-01,0.36950177932438805,0.18182364719275487,0.5373304006142156,0.36950177932438805,0.36950177932438805,-0.0061997738545679386,-0.0061997738545679386,-0.0061997738545679386,-0.0061997738545679386,-0.0061997738545679386,-0.0061997738545679386,0.0,0.0,0.0,0.3633020054698201,0.37
1700,1991-09-01,0.3710631256561059,0.2012455466334363,0.5483066308417084,0.3710631256561059,0.3710631256561059,0.0027169797320697143,0.0027169797320697143,0.0027169797320697143,0.0027169797320697143,0.0027169797320697143,0.0027169797320697143,0.0,0.0,0.0,0.3737801053881756,0.39
1701,1991-10-01,0.37257410597712287,0.21173941001562002,0.5887166633329733,0.37257410597712287,0.37257410597712287,0.014272319523439866,0.014272319523439866,0.014272319523439866,0.014272319523439866,0.014272319523439866,0.014272319523439866,0.0,0.0,0.0,0.38684642550056275,0.33
1702,1991-11-01,0.3741354523088407,0.17759028028689627,0.5500715389390419,0.3741354523088407,0.3741354523088407,0.000451905141804067,0.000451905141804067,0.000451905141804067,0.000451905141804067,0.000451905141804067,0.000451905141804067,0.0,0.0,0.0,0.37458735745064475,0.31
1703,1991-12-01,0.375646432629858,0.1864110172616228,0.5439768526576626,0.375646432629858,0.375646432629858,-0.008296190118380125,-0.008296190118380125,-0.008296190118380125,-0.008296190118380125,-0.008296190118380125,-0.008296190118380125,0.0,0.0,0.0,0.36735024251147785,0.32
1704,1992-01-01,0.3772077789615761,0.18284947270037621,0.5603280550143145,0.3772077789615761,0.3772077789615761,-0.00906657465831027,-0.00906657465831027,-0.00906657465831027,-0.00906657465831027,-0.00906657465831027,-0.00906657465831027,0.0,0.0,0.0,0.3681412043032658,0.44
1705,1992-02-01,0.37876912529329365,0.18753034514428393,0.5540397722735221,0.37876912529329365,0.37876912529329365,-0.007000844986144387,-0.007000844986144387,-0.007000844986144387,-0.007000844986144387,-0.007000844986144387,-0.007000844986144387,0.0,0.0,0.0,0.37176828030714926,0.42
1706,1992-03-01,0.38022973960361034,0.21572889028083217,0.5698302397402678,0.38022973960361034,0.38022973960361034,0.012783515254016366,0.012783515254016366,0.012783515254016366,0.012783515254016366,0.012783515254016366,0.012783515254016366,0.0,0.0,0.0,0.3930132548576267,0.46
1707,1992-04-01,0.3817910859353282,0.2011066609553979,0.5686710499328866,0.3817910859353282,0.3817910859353282,0.0004049783916917049,0.0004049783916917049,0.0004049783916917049,0.0004049783916917049,0.0004049783916917049,0.0004049783916917049,0.0,0.0,0.0,0.38219606432701986,0.24
1708,1992-05-01,0.38330206625634544,0.20702692441689344,0.5713506804042021,0.38330206625634544,0.38330206625634544,0.005490427474413549,0.005490427474413549,0.005490427474413549,0.005490427474413549,0.005490427474413549,0.005490427474413549,0.0,0.0,0.0,0.38879249373075897,0.37
1709,1992-06-01,0.38486341258806295,0.210485921458423,0.5518984282322721,0.38486341258806295,0.38486341258806295,-0.0005763833508843849,-0.0005763833508843849,-0.0005763833508843849,-0.0005763833508843849,-0.0005763833508843849,-0.0005763833508843849,0.0,0.0,0.0,0.38428702923717856,0.28
1710,1992-07-01,0.3863743929090802,0.20556886787209294,0.5716786741384171,0.3863743929090802,0.3863743929090802,0.003724446461943166,0.003724446461943166,0.003724446461943166,0.003724446461943166,0.003724446461943166,0.003724446461943166,0.0,0.0,0.0,0.39009883937102335,0.13
